"","state","variable","dollars"
"1","California","Gross cash income",6215313
"2","Georgia","Gross cash income",1202771
"3","Illinois","Gross cash income",961495
"4","Indiana","Gross cash income",853612
"5","Iowa","Gross cash income",1450632
"6","Minnesota","Gross cash income",1077314
"7","Missouri","Gross cash income",279460
"8","North Carolina","Gross cash income",869851
"9","Texas","Gross cash income",3979949
"10","Washington","Gross cash income",918842
"11","Wisconsin","Gross cash income",800898
"12","California","Net farm income",867037
"13","Georgia","Net farm income",271052
"14","Illinois","Net farm income",261149
"15","Indiana","Net farm income",138566
"16","Iowa","Net farm income",270124
"17","Minnesota","Net farm income",208412
"18","Missouri","Net farm income",50150
"19","North Carolina","Net farm income",111341
"20","Texas","Net farm income",683365
"21","Washington","Net farm income",125210
"22","Wisconsin","Net farm income",176314
"23","California","Other related income",303906
"24","Georgia","Other related income",9767
"25","Illinois","Other related income",47983
"26","Indiana","Other related income",20836
"27","Iowa","Other related income",79578
"28","Minnesota","Other related income",63106
"29","Missouri","Other related income",3508
"30","North Carolina","Other related income",6499
"31","Texas","Other related income",212331
"32","Washington","Other related income",42829
"33","Wisconsin","Other related income",41528
