"","state","variable","dollars per farm"
"1","California","Gross cash income per farm",5016.39467312349
"2","Georgia","Gross cash income per farm",4009.23666666667
"3","Illinois","Gross cash income per farm",3924.4693877551
"4","Indiana","Gross cash income per farm",942.176600441501
"5","Iowa","Gross cash income per farm",1766.90864799026
"6","Minnesota","Gross cash income per farm",557.039296794209
"7","Missouri","Gross cash income per farm",344.162561576355
"8","North Carolina","Gross cash income per farm",6743.03100775194
"9","Texas","Gross cash income per farm",6218.6703125
"10","Washington","Gross cash income per farm",959.125260960334
"11","Wisconsin","Gross cash income per farm",99.1455805892548
"12","California","Net farm income per farm",699.787732041969
"13","Georgia","Net farm income per farm",903.506666666667
"14","Illinois","Net farm income per farm",1065.91428571429
"15","Indiana","Net farm income per farm",152.942604856512
"16","Iowa","Net farm income per farm",329.018270401949
"17","Minnesota","Net farm income per farm",107.76215098242
"18","Missouri","Net farm income per farm",61.7610837438424
"19","North Carolina","Net farm income per farm",863.108527131783
"20","Texas","Net farm income per farm",1067.7578125
"21","Washington","Net farm income per farm",130.699373695198
"22","Wisconsin","Net farm income per farm",21.8264421886606
"23","California","Other related income per farm",245.283292978208
"24","Georgia","Other related income per farm",32.5566666666667
"25","Illinois","Other related income per farm",195.848979591837
"26","Indiana","Other related income per farm",22.9977924944812
"27","Iowa","Other related income per farm",96.9281364190012
"28","Minnesota","Other related income per farm",32.6297828335057
"29","Missouri","Other related income per farm",4.32019704433498
"30","North Carolina","Other related income per farm",50.3798449612403
"31","Texas","Other related income per farm",331.7671875
"32","Washington","Other related income per farm",44.7066805845512
"33","Wisconsin","Other related income per farm",5.14087645456796
