,year,state,report,farmtype,category,category_value,category2,category2_value,variable_id,variable_name,variable_sequence,variable_level,variable_group,variable_group_id,variable_unit,variable_description,variable_is_invalid,estimate,median,statistic,rse,unreliable_estimate,decimal_display
0,2019,Iowa,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,1450632.0,504407.0,MEAN,41.0,0,0
1,2019,Kansas,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,,,MEAN,,0,0
2,2019,California,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,6215313.0,4503308.0,MEAN,14.3,0,0
3,2019,Wisconsin,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,800898.0,292434.0,MEAN,9.8,0,0
4,2019,Missouri,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,279460.0,,MEAN,17.1,0,0
5,2019,Nebraska,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,,,MEAN,,0,0
6,2019,Arkansas,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,,,MEAN,,0,0
7,2019,Florida,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,,,MEAN,,0,0
8,2019,Minnesota,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,1077314.0,529951.0,MEAN,15.7,0,0
9,2019,Indiana,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,853612.0,,MEAN,25.2,0,0
10,2019,North Carolina,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,869851.0,,MEAN,24.6,0,0
11,2019,Georgia,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,1202771.0,,MEAN,55.7,0,0
12,2019,Texas,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,3979949.0,,MEAN,22.5,0,0
13,2019,Washington,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,918842.0,,MEAN,72.5,0,0
14,2019,Illinois,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,961495.0,,MEAN,24.3,0,0
15,2019,Kansas,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,,,MEAN,,0,0
16,2019,Minnesota,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,63106.0,32000.0,MEAN,12.0,0,0
17,2019,Florida,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,,,MEAN,,0,0
18,2019,Missouri,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,3508.0,,MEAN,41.5,0,0
19,2019,Georgia,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,9767.0,,MEAN,77.4,0,0
20,2019,Texas,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,212331.0,,MEAN,27.3,0,0
21,2019,California,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,303906.0,39000.0,MEAN,23.5,0,0
22,2019,Wisconsin,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,41528.0,14897.0,MEAN,11.5,0,0
23,2019,Indiana,Farm Business Income Statement,All Farms,Production Specialty,Dairy,All Farms,TOTAL,iothfm,Other farm-related income,60,2,,,Dollars per farm,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",False,20836.0,,MEAN,85.1,0,0
