"id","agid","title","timestamp","author","author_primary","subject","source","journal","abstract","date","publication_year","publication_year_rev","issn","type","issue","volume","startpage","endpage","pageoffset","page","doi_url","doi","text_availability","language","chorus","pmid","pmid_url","pmcid","pmcid_url","files_ss"
"6478374","6478374","The impact of nutrient regulations on dairy farm land values in Southland","2021-09-14T08:51:25Z","c(""Muller, Carla F."", ""Neal, Mark B."")","Muller, Carla F.","c(""dairy farming"", ""farm profitability"", ""farming systems"", ""farmland values"", ""leaching"", ""models"", ""nitrogen"", ""risk"", ""water quality"", ""New Zealand"")","2019 v.62 no.4","New Zealand journal of agricultural research","Environment Southland is setting water quality limits in Southland, New Zealand. It has been well-documented that restrictions on nutrient losses from dairy farms are likely to negatively impact on farm profitability. Less understood is the influence of these regulations on rural land values. Dairy land values have traditionally been driven, in part, by changes in profitability expectations, although lags exist. Therefore, there is a risk that the costs of implementing water quality limits will impact on rural land values. Farm systems modelling was used to investigate the cost of reducing nutrient losses. Present valuation methodology was then used to examine the potential impact of this cost on dairy farm land values. Results show that mitigating nutrient losses from dairy farms in Southland reduces operating profit, resulting in a reduction of land value. Modelling suggests a 20% reduction in nitrogen leaching reduced operating profit by 14% and land value by 17%. The 25th and 75th percentile for the reduction in operating profit was −17.2% and −10.5% respectively. The 25th and 75th percentile for the reduction in land value was −21.5% and −13.1% respectively.","2019-10-02","2019","7981-2019","1175-8775","article","no. 4","v. 62","457","475","18","pp. 457-475","http://dx.doi.org/10.1080/00288233.2018.1509876","10.1080/00288233.2018.1509876","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7190709","7190709","Whole Genome Sequence Analysis of Porcine Astroviruses Reveals Novel Genetically Diverse Strains Circulating in East African Smallholder Pig Farms","2021-09-14T06:34:26Z","c(""Amimo, Joshua O."", ""Machuka, Eunice M."", ""Abworo, Edward O."", ""Vlasova, Anastasia N."", ""Pelle, Roger"")","Amimo, Joshua O.","c(""Mamastrovirus"", ""Rotavirus"", ""amino acid sequences"", ""animal viruses"", ""coat proteins"", ""epitopes"", ""farms"", ""gastroenteritis"", ""genetic variation"", ""genome"", ""genotype"", ""human diseases"", ""livestock and meat industry"", ""molecular epidemiology"", ""nucleotide sequences"", ""piglets"", ""prediction"", ""sequence analysis"", ""subunit vaccines"", ""Kenya"", ""Uganda"")","2020 v.12 no.11","Viruses","Astroviruses (AstVs) are widely distributed and are associated with gastroenteritis in human and animals. The knowledge of the genetic diversity and epidemiology of AstVs in Africa is limited. This study aimed to characterize astroviruses in asymptomatic smallholder piglets in Kenya and Uganda. Twenty-four samples were randomly selected from a total of 446 piglets aged below 6 months that were initially collected for rotavirus study and sequenced for whole genome analysis. Thirteen (13/24) samples had contigs with high identity to genus Mamastrovirus. Analysis of seven strains with complete (or near complete) AstV genome revealed variable nucleotide and amino acid sequence identities with known porcine astrovirus (PoAstV) strains. The U083 and K321 strains had nucleotide sequence identities ranging from 66.4 to 75.4% with the known PoAstV2 strains; U460 strain had nucleotide sequence identities of 57.0 to 65.1% regarding the known PoAstV3; and K062, K366, K451, and K456 strains had nucleotide sequence identities of 63.5 to 80% with the known PoAstV4 strains. The low sequence identities (<90%) indicate that novel genotypes of PoAstVs are circulating in the study area. Recombination analysis using whole genomes revealed evidence of multiple recombination events in PoAstV4, suggesting that recombination might have contributed to the observed genetic diversity. Linear antigen epitope prediction and a comparative analysis of capsid protein of our field strains identified potential candidate epitopes that could help in the design of immuno-diagnostic tools and a subunit vaccine. These findings provide new insights into the molecular epidemiology of porcine astroviruses in East Africa.","2020-11-05","2020","7980-2020","1999-4915","article","no. 11","v. 12",NA,NA,NA,NA,"http://dx.doi.org/10.3390/v12111262","10.3390/v12111262","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6887828","6887828","Adoption and economic analysis of using biological control in Philippine highland farms: Case of Trichoderma koningii strain KA","2021-09-14T05:53:59Z","c(""Launio, Cheryll C."", ""Labon, Kacy O."", ""Bañez, Alladin A."", ""Batani, Ruth S."")","Launio, Cheryll C.","c(""Trichoderma koningii"", ""biological control"", ""composts"", ""crops"", ""discount rate"", ""disease control"", ""economic analysis"", ""farmers"", ""farms"", ""field experimentation"", ""fungal antagonists"", ""geometry"", ""good agricultural practices"", ""interviews"", ""marketing strategies"", ""markets"", ""prices"", ""research and development"", ""sales"", ""soil nutrients"", ""Philippines"")","2020 v.136","Crop protection","This study summarized evidence of adoption and outcomes of using Trichoderma koningii in highland agriculture in the Philippines, and estimated economic rate of returns to T. koningii R&D. Adoption rates were estimated from sales data of T. koningii pure culture, and net incremental changes based on reviewed field experiments in the Cordillera region, Philippines and partial budget analysis based on farmer interviews. Findings showed that T. koningii are being used mostly by organic and good agricultural practice producers as biofungicide for disease management, and as soil nutrient and compost enhancer. T. koningii pure culture annual geometric growth rate of sales was at 29.7% and overall adoption rate in Benguet in 2018 was roughly estimated at 0.03%. Identified constraints to adoption are: high price; misconception that Trichoderma is for organic farmers only; slow effect of the technology; limited information; and limited market outlets and marketing strategies. The estimated change in yield due to use of T. koningii ranged from 10% to 50% based on farmer interviews, and 4%–92% based on field and pot experiments in various crops and uses from literature. The net present value (NPV) assuming a 10% real social discount rate is PhP4.3 M (USD0.08M), and the rate of returns for the Philippine government investing resources in T. koningii development and promotion was estimated at 49.1% considering a 10-year period. Assuming the lowest estimate of net benefit at PhP28670 ha⁻¹ (547 USD ha⁻¹) and 20 years project duration, the NPV is Php3.7 M (USD 0.07M). The study contributes policy support to sustained promotion of T. koningii and continued government funding for effective biological control and biofertilizer R&D.","2020-10","2020","7980-2020","0261-2194","article",NA,"v. 136","105177",NA,NA,NA,"https://dx.doi.org/10.1016/j.cropro.2020.105177","10.1016/j.cropro.2020.105177","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6935343","6935343","Do farmers manage weeds on owned and rented land differently? Evidence from US corn and soybean farms","2021-09-14T06:53:14Z","c(""Frisvold, George B"", ""Albright, Joshua"", ""Ervin, David E"", ""Owen, Micheal DK"", ""Norsworthy, Jason K"", ""Dentzman, Katherine E"", ""Hurley, Terrance M"", ""Jussaume, Raymond A"", ""Gunsolus, Jeffrey L"", ""Everman, Wesley"")","Frisvold, George B","c(""Glycine max"", ""Zea mays"", ""agricultural land"", ""corn"", ""crop production"", ""evolution"", ""farms"", ""herbicide resistance"", ""herbicide-resistant weeds"", ""herbicides"", ""land ownership"", ""land tenure"", ""leasing"", ""multivariate analysis"", ""national surveys"", ""resistance management"", ""soybeans"", ""weed control"", ""United States"")","2020 v.76 no.6","Pest management science","BACKGROUND: It has been frequently argued that growers have less incentive to manage the evolution and spread of herbicide‐resistant weeds on leased than on owned land. This is because resistance management provides long‐term rather than short‐term benefits that operators may be less assured of capturing on land they do not own. Yet, empirical evidence supporting this argument has been lacking. RESULTS: This study reports on results from a large‐scale national survey of weed management and other crop production practices on US agricultural fields. Up to 11 weed management practices were compared across owner‐operated versus renter‐operated fields. Analysis of survey data from corn and soybean fields did not support the hypothesis that adoption of resistance management practices is lower on rented acres. In most instances, there were no statistically significant differences in herbicide use or weed management practices on rented versus owned land. This was true at both national and regional levels of analysis. Where there were significant differences, practices associated with greater herbicide resistance management were, as often as not, more prevalent on rented than owned land. CONCLUSIONS: A useful area of future research would be to test for land tenure differences in resistance management using multivariate analysis to control for confounding effects. Unobserved farmer or land characteristics may be confounding results and masking land tenure effects. Results here, however, suggest that these other effects are dominating any obvious disincentive effects of land leasing on resistance management. Of greater concern, the adoption of key resistance management practices was low on both owned and rented land. © 2020 Society of Chemical Industry","2020-06","2020","7980-2020","1526-498X","article","no. 6","v. 76","2030","2039","9","pp. 2030-2039","http://dx.doi.org/10.1002/ps.5737","10.1002/ps.5737","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"5737259","5737259","Farm Safety Practices and Farm Size in New South Wales","2021-09-14T03:35:28Z","c(""Bailey, Jannine"", ""Dutton, Tegan"", ""Payne, Kristy"", ""Wilson, Ross"", ""Brew, Bronwyn K."")","Bailey, Jannine","c(""agricultural health and safety"", ""children"", ""farm size"", ""farmers"", ""farms"", ""hearing"", ""safety equipment"", ""surveys"", ""tractors"", ""New South Wales"")","2017 v.22 no.3","Journal of agromedicine","Objective: There is some evidence to suggest that safety on small-area farms may not be high priority due to economic constraints and lack of knowledge. This has important ramifications for injury and economic burden. The objective of this research was to conduct a pilot study to investigate whether small- to medium-area farms implement fewer safety practices than large-area farms. Methods: Farmers were recruited from farm safety training days, field days, and produce stores in rural New South Wales (NSW), Australia. Small- and medium-area farms less than 500 ha (1235 acres) in size were aggregated for analysis and compared with large-area farms (≥500 ha) for survey items, including safety equipment owned and used, safety practices protecting children, barriers to improving safety, and causes of injury. Results: Overall, small/medium-area farms were found to own less safety equipment and to employ less safety practices than large-area farms. In particular, fewer tractors were fitted with rollover protection structures, there was less signage, less hearing protection, and fewer machinery guides. Injury rates were slightly less for small/medium-area farms, particularly involving vehicles. Small- and medium-area farmers were more likely to report lack of skills as barriers to making safety improvements. Conclusion: This pilot study found some evidence that small/medium-area farms implement fewer safety practices than large-area farms. A larger study is warranted to investigate this further, with particular focus on barriers and ways to overcome them. This could have important ramifications for government policies supporting struggling farmers on small/medium-area farms.","2017-07-03","2017","7983-2017","1545-0813","article","no. 3","v. 22","229","234","5","pp. 229-234","https://dx.doi.org/10.1080/1059924X.2017.1318101","10.1080/1059924X.2017.1318101","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6884860","6884860","Irrigation and energy: issues and challenges","2021-09-14T05:50:31Z","c(""Belaud, G."", ""Mateos, L."", ""Aliod, R."", ""Buisson, M.‐C."", ""Faci, E."", ""Gendre, S."", ""Ghinassi, G."", ""Gonzales Perea, R."", ""Lejars, C."", ""Maruejols, F."", ""Zapata, N."")","Belaud, G.","c(""energy efficiency"", ""farms"", ""stakeholders"", ""France"")","2020 v.69 Suppl S1","Irrigation and drainage","Water‐efficient agriculture has implied a large increase in energy consumption for irrigation in recent decades. In many irrigation systems, energy costs are now threatening their sustainability. However, new opportunities have arisen for the use of renewable energies in the irrigation sector. These are some of the aspects of the multifaceted multiple‐actor ‘water–food–energy' nexus. Technical, economic and environmental issues are linked in many ways, involving farmers, water users' associations, energy suppliers, engineers and other stakeholders. The ICID session ‘Irrigation and energy' triggered discussions on these multiple dimensions. This paper presents a synthesis of the presentations, discussions and conclusions. Four main questions are addressed: How do irrigation productivity and sustainability of water resources exploitation change when farmers have access to energy? What do we know about energy efficiency in irrigation systems, at farm and collective network levels? How can this efficiency be optimized by using advanced technologies, modelling tools, improved management? Is energy production an opportunity for irrigation systems? These questions have been posed based on multiple case studies from different parts of the world. The BRL network, in southern France, illustrates advanced strategies and opportunities to reduce energy consumption and develop energy production at a network level. General conclusions are drawn from this synthesis, illustrating trade‐offs and synergies that can be identified in the irrigation sector at different scales, while opportunities for future research are proposed. © 2019 John Wiley & Sons, Ltd.","2020-04","2020","7980-2020","1531-0353","article",NA,"v. 69 Suppl S1","177","185","8","pp. 177-185","http://dx.doi.org/10.1002/ird.2343","10.1002/ird.2343","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"6235830","6235830","Integrated farm management for sustainable agriculture: Lessons for knowledge exchange and policy","2021-09-14T06:12:41Z","c(""Rose, David C."", ""Sutherland, William J."", ""Barnes, Andrew P."", ""Borthwick, Fiona"", ""Ffoulkes, Charles"", ""Hall, Clare"", ""Moorby, Jon M."", ""Nicholas-Davies, Phillipa"", ""Twining, Susan"", ""Dicks, Lynn V."")","Rose, David C.","c(""farm management"", ""farmers"", ""farming systems"", ""industry"", ""information exchange"", ""issues and policy"", ""mechanization"", ""sustainable agriculture"", ""England"", ""Wales"")","2019 v.81","Land use policy","As a response to the environmentally and socially destructive practices of post-war mechanization and intensification, the concept of sustainable agriculture has become prominent in research, policy, and practice. Sustainable agriculture aims to balance the economic, environmental, and social aspects of farming, creating a resilient farming system in the long-term. Over the last few decades, various concepts have been used in research and policy to encourage the adoption of sustainable practices. Within such a congested space, this paper assesses the value of ‘integrated farm management’ as a concept for the promotion of sustainable agriculture. The concept is the subject of renewed policy interest in England and Wales and it is also being promoted in Europe. Previous research, however, has suggested that integrated farm management may not be well understood or widely practised. There are also criticisms that it can be impractical and poorly differentiated from similar ideas. As such, renewed insights are required into how useful the concept might be for encouraging sustainable agriculture. Using a mixed methods approach, we gathered the views of farmers, farm advisors, and industry representatives about integrated farm management in England and Wales, and interpreted these through a theoretical framework to judge the strength of the concept. Overall, the general principles of Integrated Farm Management were found to be coherent and familiar to most of our respondents. However, the concept performed poorly in terms of its resonance, simplicity of message, differentiation from other similar terms and theoretical utility. We reflect on our findings in the context of other ways to promote sustainable agriculture, drawing out messages for policy and knowledge exchange in England and Wales, as well as elsewhere.","2019-02","2019","7981-2019","0264-8377","article",NA,"v. 81","834","842","8","pp. 834-842","https://dx.doi.org/10.1016/j.landusepol.2018.11.001","10.1016/j.landusepol.2018.11.001","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7299279","7299279","Avenues for improving farming sustainability assessment with upgraded tools, sustainability framing and indicators. A review","2021-09-14T09:02:21Z","c(""Chopin, Pierre"", ""Mubaya, Chipo P."", ""Descheemaeker, Katrien"", ""Öborn, Ingrid"", ""Bergkvist, Göran"")","Chopin, Pierre","c(""agronomy"", ""biodiversity conservation"", ""bioeconomics"", ""ex ante analysis"", ""farms"", ""gender"", ""governance"", ""stakeholders"", ""sustainable development"", ""viability"")","2021 v.41 no.2","Agronomy for sustainable development","The sustainability of agriculture is questioned due to major negative environmental and socioeconomic impacts. To improve the state of agriculture, various management changes have been proposed. Different tools, with varying characteristics, sustainability framing and indicators, have been used to evaluate the impact of these changes on sustainability. Here, we review 119 tools for farm sustainability assessment and compare their use, sustainability dimensions, themes and types of indicators used for biodiversity conservation, farm viability and gender equity. Our main findings are that (1) tools could be classified into five groups that differ in stakeholder participation and model used for calculating sustainability, (2) seven different sustainability framings are used and (3) only two out of 29 indicators screened address impacts of farming system while the others address drivers, pressures or states of the system. The tools were grouped in “Long-term monitoring of farm activities” (11%), “Ex-ante assessment of sustainability with bioeconomic models” (9%), “Survey- and indicator-based assessment of tools” (41%), “Consultation-based assessment” (25%) and “Active engagement of stakeholder-based assessment” (14%). The “classical view of sustainability”, with the economic, social and environmental pillars, was used in 61% of the papers. Based on these findings, we suggest (1) development of temporal dynamic assessment of farm sustainability with active involvement of stakeholders in the framing of sustainability and design of indicators to achieve reliable and relevant assessment outcomes. We recommend (2) adoption of more complex sustainability framings dealing with emerging system properties, namely resilience, viability and stability. In these, (3) governance/institutional dimensions should be emphasised, and social themes targeting farmers’ characteristics should be included. Finally, (4) use of impact indicators in farm sustainability assessments is critical, and they should be designed to contribute to scientifically rigorous and relevant assessments of farming system sustainability.","2021-04","2021","7979-2021","1774-0746","article","no. 2","v. 41","19","19","1","pp. 19-19","https://dx.doi.org/10.1007/s13593-021-00674-3","10.1007/s13593-021-00674-3","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7218997","7218997","Day-old chicken quality and performance of broiler chickens from 3 different hatching systems","2021-09-14T07:09:55Z","c(""Souza da Silva, Carol"", ""Molenaar, Roos"", ""Giersberg, Mona F."", ""Rodenburg, T. Bas"", ""van Riel, Johan W."", ""De Baere, Kris"", ""Van Dosselaer, Iris"", ""Kemp, Bas"", ""van den Brand, Henry"", ""de Jong, Ingrid C."")","Souza da Silva, Carol","c(""age at slaughter"", ""body weight"", ""breasts"", ""carcass weight"", ""farms"", ""growth performance"", ""hatcheries"", ""mortality"", ""stomach"", ""wooden breast"")","2021 v.100 no.3","Poultry science","In on-farm hatching systems, eggs are transported at d 18 of incubation to the broiler farm, where chickens have immediate access to feed and water after hatching. In hatchery-fed systems, newly hatched chickens have immediate access to feed and water in the hatchery and are transported to the farm thereafter. Conventionally hatched chickens can remain without access to feed and water up to 72 h after hatching until placement on the farm. The current study compared day-old chicken quality, performance, and slaughter yield of broiler chickens that were on-farm hatched (OH), hatchery-fed (HF), or conventionally hatchery-hatched (HH). The experiment was performed in 6 rooms in 1 house. Each room contained 2 duplicate pens with approximately 1,155 chickens per pen; 2 rooms with each 2 duplicate pens were assigned to 1 treatment. The experiment was repeated during 3 consecutive production cycles. Chickens originated from young parent stock flocks. Results showed that HF and OH chickens were heavier and longer than HH chickens at day (D) 1. Relative weight of stomach and intestines were highest for OH chickens. The OH chickens had worse day-old chicken quality in terms of navel condition and red hocks than HH and HF chickens. Treatments did not differ in first wk and total mortality. From D0 until slaughter age, body weight was highest for OH, followed by HF and HH. Furthermore, carcass weight at slaughter age (D40) was highest for OH chickens, followed by HF and HH chickens. Breast fillets showed a higher incidence of white striping and wooden breast in HF and OH chickens compared with HH chickens. In conclusion, the current study showed that both OH and HF chickens of young parent flocks had better growth performance, which could explain the higher prevalence of breast myopathies, compared with HH. The worse day-old chicken quality for OH compared with HH and HF does not seem to affect first wk mortality and later life performance.","2021-03","2021","7979-2021","0032-5791","article","no. 3","v. 100","100953",NA,NA,NA,"https://dx.doi.org/10.1016/j.psj.2020.12.050","10.1016/j.psj.2020.12.050","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
"7209328","7209328","What to do with the farmland? Coping with ageing in rural Thailand","2021-09-14T06:58:58Z","c(""Jansuwan, Para"", ""Zander, Kerstin K."")","Jansuwan, Para","c(""agricultural land"", ""agricultural productivity"", ""elderly"", ""farms"", ""food security"", ""gender"", ""income"", ""labor"", ""Thailand"")","2021 v.81","Journal of rural studies","As Thai farmers get older they need to plan what to do with their farm business and land given younger people tend to out-migrate to urban areas and shift their interests away from farming. Such demographic trends may reduce agricultural productivity and increase food insecurity, both among farmers and in the region. Using data collected through interviews with 368 farmers in the Prachin Buri province of Thailand, this research aims to examine how ageing is affecting farm activities of older farmers (60 years and older) and how they are adapting. We found that, while a small percentage of older farmers intended to continue farming without making any changes over the next five years (~9%), most were concerned about their health and farm work capacity, and were looking to leave farming and implement strategies to reduce both work intensity and time. Most farmers intended to stop farming and transfer farmland to their children (~40%), or continue farming while making some changes (~30%), such as employing additional workers or switching to less labour intense crops. Some intended to stop farming altogether and dispose of farmland outside their family (~21%; e.g. leasing out or selling or returning farmland to owner if leased). As expected, the chosen strategy depended on personal (old-age income security and gender) and farm characteristics (e.g. successor, farm activities, and subsidy). Having a dedicated successor had a substantial impact on transferring land to the children, reflecting the importance of commitment for farming by the next generation, which will be challenging. A pension higher than the widely available old-age allowance could support farmers in maintaining a better living standard after retiring. However, only a fraction of farmers currently had access to a pension. Both short- and long-term policies are, therefore, needed to support elderly farmers, improve their living standards after retirement, and attract young people back to farming.","2021-01","2021","7979-2021","0743-0167","article",NA,"v. 81","37","46","9","pp. 37-46","https://dx.doi.org/10.1016/j.jrurstud.2020.12.003","10.1016/j.jrurstud.2020.12.003","Citation in PubAg","",NA,NA,NA,NA,NA,"NULL"
